n,L,kappa,avg_count,samples,time_sec,timestamp
16,1,8,233.78,100,21.29,2025-11-12T09:25:31.727355
17,1,8,273.17,100,27.89,2025-11-12T09:25:59.615475
18,1,8,262.04,100,34.52,2025-11-12T09:26:34.134151
19,1,8,270.39,100,39.34,2025-11-12T09:27:13.471886
20,1,8,251.78,100,40.47,2025-11-12T09:27:53.946092
21,1,8,325.71,100,51.93,2025-11-12T09:28:45.875943
22,1,8,324.55,100,62.85,2025-11-12T09:29:48.723470
23,1,8,320.93,100,69.72,2025-11-12T09:30:58.443515
24,1,8,284.3,100,69.61,2025-11-12T09:32:08.058083
25,1,8,303.28,100,81.94,2025-11-12T09:33:29.996748
26,1,8,413.14,100,117.26,2025-11-12T09:35:27.261991
27,1,8,454.29,100,133.66,2025-11-12T09:37:40.919583
28,1,8,411.09,100,147.33,2025-11-12T09:40:08.249692
29,1,8,408.21,100,178.94,2025-11-12T09:43:07.189498
30,1,8,444.48,100,153.11,2025-11-12T09:45:40.304161
31,1,8,427.05,100,135.11,2025-11-12T09:47:55.411659
32,1,8,457.43,100,154.09,2025-11-12T10:45:46.084635
33,1,8,507.18,100,184.41,2025-11-12T10:48:50.490901
34,1,8,494.15,100,182.98,2025-11-12T10:51:53.471476
35,1,8,498.91,100,206.64,2025-11-12T10:55:20.115115
36,1,8,476.95,100,206.28,2025-11-12T10:58:46.397280
37,1,8,511.55,100,228.41,2025-11-12T11:02:34.808728
38,1,8,579.23,100,267.77,2025-11-12T11:07:02.584252
39,1,8,585.21,100,285.41,2025-11-12T11:11:47.993196
40,1,8,544.33,100,286.05,2025-11-12T11:16:34.044574
41,1,8,544.56,100,320.73,2025-11-12T11:21:54.773727
42,1,8,628.53,100,365.08,2025-11-12T11:27:59.857663
43,1,8,668.37,100,399.35,2025-11-12T11:34:39.212467
44,1,8,711.27,100,450.61,2025-11-12T11:42:09.825662
45,1,8,729.5,100,493.47,2025-11-12T11:50:23.292266
46,1,8,606.74,100,450.63,2025-11-12T11:57:53.924166
47,1,8,761.58,100,554.31,2025-11-12T12:07:08.238842
48,1,8,633.27,100,515.9,2025-11-12T14:11:27.190651
49,1,8,612.28,100,518.13,2025-11-12T14:20:05.317238
50,1,8,791.77,100,663.66,2025-11-12T14:31:08.975838
51,1,8,910.63,100,743.14,2025-11-12T14:43:32.117473
52,1,8,958.85,100,837.78,2025-11-12T14:57:29.899370
53,1,8,979.56,100,892.47,2025-11-12T15:12:22.373797
54,1,8,880.11,100,878.43,2025-11-12T15:27:00.801947
55,1,8,734.05,100,833.59,2025-11-12T15:40:54.390036
56,1,8,837.1,100,1019.36,2025-11-12T15:57:53.754624

