n,L,kappa,avg_count,samples,time_sec,timestamp
32,1,8,426.78,100,150.29,2025-11-19T14:06:43.423348
32,2,8,426.89,100,151.78,2025-11-19T14:09:15.207066
32,4,8,361.79,100,143.18,2025-11-19T14:11:38.388385
32,8,8,492.69,100,172.64,2025-11-19T14:14:31.030643
32,16,8,342.13,100,153.22,2025-11-19T14:17:04.249486
32,32,8,382.02,100,157.25,2025-11-19T14:19:41.499722
32,64,8,368.77,100,173.96,2025-11-19T14:22:35.460372
32,128,8,445.29,100,204.89,2025-11-19T14:26:00.347121
32,256,8,399.94,100,201.43,2025-11-19T14:29:21.779166
32,512,8,467.08,100,230.41,2025-11-19T14:33:12.190169
32,1024,8,503.97,100,238.62,2025-11-19T14:37:10.808951
32,2048,8,503.47,100,256.42,2025-11-19T14:41:27.224910
32,4096,8,455.75,100,256.43,2025-11-19T14:45:43.658570
32,8192,8,468.31,100,269.14,2025-11-19T14:50:12.802265
32,16384,8,487.62,100,292.84,2025-11-19T14:55:05.646785
32,32768,8,466.12,100,323.56,2025-11-19T15:00:29.205339
32,65536,8,498.16,100,377.54,2025-11-19T15:06:46.744274
32,131072,8,606.36,100,403.46,2025-11-19T15:13:30.201531
32,262144,8,628.36,100,397.57,2025-11-19T15:20:07.776915
32,524288,8,588.31,100,423.75,2025-11-19T15:27:11.530075
32,1048576,8,705.19,100,477.22,2025-11-19T15:35:08.753948
32,2097152,8,575.28,100,480.09,2025-11-19T15:43:08.846471
32,4194304,8,626.38,100,513.83,2025-11-19T15:51:42.681000
32,8388608,8,657.72,100,547.0,2025-11-19T16:00:49.685646
32,16777216,8,804.13,100,646.23,2025-11-19T16:11:35.916873
32,33554432,8,579.43,100,667.58,2025-11-19T16:22:43.499951
32,67108864,8,694.75,100,786.23,2025-11-19T16:35:49.731924
32,134217728,8,706.34,100,864.3,2025-11-19T16:50:14.037628
32,268435456,8,777.06,100,1374.95,2025-11-19T17:13:08.987129
32,536870912,8,847.4,100,947.27,2025-11-19T17:28:56.258682
32,1073741824,8,1009.74,100,1089.38,2025-11-19T17:47:05.643803
